episode,step,timestamp,task_id,agent_id,state,action
0,0,1743066650.909292,320,0,"[21.0, 237.0]",5
0,0,1743066650.9102907,320,1,"[6.0, 152.0]",1
0,0,1743066650.9102907,320,2,"[31.0, 165.0]",9
0,0,1743066650.9102907,320,3,"[39.0, 53.0]",9
0,1,1743066650.9122944,309,0,"[21.0, 237.0]",7
0,1,1743066650.9122944,309,1,"[6.0, 152.0]",4
0,1,1743066650.9122944,309,2,"[16.49029541015625, 142.1593475341797]",9
0,1,1743066650.9122944,309,3,"[39.0, 53.0]",4
0,2,1743066650.915293,576,0,"[21.0, 237.0]",9
0,2,1743066650.915293,576,1,"[6.0, 152.0]",5
0,2,1743066650.915293,576,2,"[15.049086570739746, 27.0792293548584]",6
0,2,1743066650.915293,576,3,"[39.0, 53.0]",4
0,3,1743066650.9182932,964,0,"[7.019588470458984, 202.43968200683594]",6
0,3,1743066650.9182932,964,1,"[6.0, 152.0]",6
0,3,1743066650.9182932,964,2,"[15.049086570739746, 27.0792293548584]",2
0,3,1743066650.9182932,964,3,"[39.0, 53.0]",3
0,4,1743066650.9222934,166,0,"[1.900144100189209, 86.78626251220703]",5
0,4,1743066650.9222934,166,1,"[6.0, 152.0]",5
0,4,1743066650.9222934,166,2,"[15.049086570739746, 27.0792293548584]",5
0,4,1743066650.9222934,166,3,"[39.0, 53.0]",3
0,5,1743066650.9262924,551,0,"[1.900144100189209, 86.78626251220703]",6
0,5,1743066650.9262924,551,1,"[6.0, 152.0]",5
0,5,1743066650.9262924,551,2,"[15.049086570739746, 27.0792293548584]",7
0,5,1743066650.9262924,551,3,"[24.130569458007812, 19.828649520874023]",5
0,6,1743066650.9293005,474,0,"[1.900144100189209, 86.78626251220703]",6
0,6,1743066650.9293005,474,1,"[6.0, 152.0]",9
0,6,1743066650.9293005,474,2,"[15.049086570739746, 27.0792293548584]",1
0,6,1743066650.9293005,474,3,"[24.130569458007812, 19.828649520874023]",3
0,7,1743066650.9325433,801,0,"[1.900144100189209, 86.78626251220703]",1
0,7,1743066650.9325433,801,1,"[6.0, 152.0]",4
0,7,1743066650.9325433,801,2,"[15.049086570739746, 27.0792293548584]",8
0,7,1743066650.9328983,801,3,"[24.130569458007812, 19.828649520874023]",7
0,8,1743066650.9353952,1,0,"[1.900144100189209, 86.78626251220703]",6
0,8,1743066650.9353952,1,1,"[6.0, 152.0]",9
0,8,1743066650.9363966,1,2,"[15.049086570739746, 27.0792293548584]",9
0,8,1743066650.9363966,1,3,"[24.130569458007812, 19.828649520874023]",4
0,9,1743066650.939394,570,0,"[1.900144100189209, 86.78626251220703]",6
0,9,1743066650.939394,570,1,"[2.094520330429077, 101.6846694946289]",3
0,9,1743066650.939394,570,2,"[15.049086570739746, 27.0792293548584]",3
0,9,1743066650.939394,570,3,"[24.130569458007812, 19.828649520874023]",4
0,10,1743066650.9433944,979,0,"[1.900144100189209, 86.78626251220703]",6
0,10,1743066650.9433944,979,1,"[2.094520330429077, 101.6846694946289]",2
0,10,1743066650.9433944,979,2,"[15.049086570739746, 27.0792293548584]",4
0,10,1743066650.9433944,979,3,"[17.775293350219727, 1.3362452983856201]",3
0,11,1743066650.9464612,399,0,"[1.900144100189209, 86.78626251220703]",1
0,11,1743066650.9464612,399,1,"[2.094520330429077, 101.6846694946289]",4
0,11,1743066650.9464612,399,2,"[15.049086570739746, 27.0792293548584]",7
0,11,1743066650.9464612,399,3,"[17.775293350219727, 1.3362452983856201]",3
0,12,1743066650.9484603,233,0,"[1.900144100189209, 86.78626251220703]",6
0,12,1743066650.9494584,233,1,"[2.094520330429077, 101.6846694946289]",3
0,12,1743066650.9494584,233,2,"[15.049086570739746, 27.0792293548584]",6
0,12,1743066650.9494584,233,3,"[17.775293350219727, 1.3362452983856201]",5
0,13,1743066650.9524603,119,0,"[1.900144100189209, 86.78626251220703]",9
0,13,1743066650.9524603,119,1,"[2.094520330429077, 101.6846694946289]",7
0,13,1743066650.9524603,119,2,"[15.049086570739746, 27.0792293548584]",2
0,13,1743066650.9524603,119,3,"[17.775293350219727, 1.3362452983856201]",3
0,14,1743066650.95646,40,0,"[1.900144100189209, 86.78626251220703]",9
0,14,1743066650.95646,40,1,"[2.094520330429077, 101.6846694946289]",5
0,14,1743066650.95646,40,2,"[10.643633842468262, 19.395803451538086]",2
0,14,1743066650.95646,40,3,"[17.775293350219727, 1.3362452983856201]",1
0,15,1743066650.95946,235,0,"[1.900144100189209, 86.78626251220703]",7
0,15,1743066650.95946,235,1,"[2.094520330429077, 101.6846694946289]",6
0,15,1743066650.95946,235,2,"[10.643633842468262, 19.395803451538086]",7
0,15,1743066650.9604588,235,3,"[17.775293350219727, 1.3362452983856201]",5
0,16,1743066650.9622593,385,0,"[1.900144100189209, 86.78626251220703]",9
0,16,1743066650.9622593,385,1,"[2.094520330429077, 101.6846694946289]",4
0,16,1743066650.9632754,385,2,"[10.643633842468262, 19.395803451538086]",3
0,16,1743066650.9632754,385,3,"[17.775293350219727, 1.3362452983856201]",4
0,17,1743066650.9662716,911,0,"[1.900144100189209, 86.78626251220703]",7
0,17,1743066650.9662716,911,1,"[2.094520330429077, 101.6846694946289]",8
0,17,1743066650.9662716,911,2,"[4.226994514465332, 12.84948444366455]",2
0,17,1743066650.9662716,911,3,"[17.775293350219727, 1.3362452983856201]",6
0,18,1743066650.9692755,782,0,"[1.900144100189209, 86.78626251220703]",5
0,18,1743066650.9692755,782,1,"[2.094520330429077, 101.6846694946289]",3
0,18,1743066650.9692755,782,2,"[4.226994514465332, 12.84948444366455]",1
0,18,1743066650.9692755,782,3,"[17.775293350219727, 1.3362452983856201]",1
0,19,1743066650.9722736,664,0,"[1.900144100189209, 86.78626251220703]",8
0,19,1743066650.9732718,664,1,"[2.094520330429077, 101.6846694946289]",8
0,19,1743066650.9732718,664,2,"[4.226994514465332, 12.84948444366455]",1
0,19,1743066650.9732718,664,3,"[17.775293350219727, 1.3362452983856201]",1
0,20,1743066650.9752717,212,0,"[1.900144100189209, 86.78626251220703]",5
0,20,1743066650.9762728,212,1,"[2.094520330429077, 101.6846694946289]",4
0,20,1743066650.9762728,212,2,"[4.226994514465332, 12.84948444366455]",4
0,20,1743066650.9762728,212,3,"[17.775293350219727, 1.3362452983856201]",8
0,21,1743066650.9787161,94,0,"[1.900144100189209, 86.78626251220703]",4
0,21,1743066650.9787161,94,1,"[2.094520330429077, 101.6846694946289]",1
0,21,1743066650.9787161,94,2,"[4.226994514465332, 12.84948444366455]",3
0,21,1743066650.9787161,94,3,"[17.775293350219727, 1.3362452983856201]",9
0,22,1743066650.9817286,299,0,"[1.900144100189209, 86.78626251220703]",7
0,22,1743066650.9817286,299,1,"[2.094520330429077, 101.6846694946289]",9
0,22,1743066650.9817286,299,2,"[4.226994514465332, 12.84948444366455]",4
0,22,1743066650.9817286,299,3,"[17.775293350219727, 1.3362452983856201]",6
0,23,1743066650.9842994,425,0,"[1.900144100189209, 86.78626251220703]",5
0,23,1743066650.9853,425,1,"[2.094520330429077, 101.6846694946289]",2
0,23,1743066650.9853,425,2,"[4.226994514465332, 12.84948444366455]",3
0,23,1743066650.9853,425,3,"[17.775293350219727, 1.3362452983856201]",6
0,24,1743066650.9883,879,0,"[1.900144100189209, 86.78626251220703]",9
0,24,1743066650.9883,879,1,"[2.094520330429077, 101.6846694946289]",1
0,24,1743066650.9893043,879,2,"[4.226994514465332, 12.84948444366455]",5
0,24,1743066650.9893043,879,3,"[17.775293350219727, 1.3362452983856201]",8
0,25,1743066650.9912999,387,0,"[0.4486671984195709, 19.72896957397461]",9
0,25,1743066650.9922996,387,1,"[2.094520330429077, 101.6846694946289]",4
